title,author,year,genre,isbn
National Lottery Bill (H.L.) (House of Lords Bills),Unknown Author,2000,Fiction,9780108360879
Public Interest Disclosure Bill (House of Lords Bills),Unknown Author,2000,Fantasy,9780108361029
Local Government (Experimental Arrangements) Bill [H.L.],Unknown Author,2000,Fiction,9780108364761
Competition Bill [H.L.],Unknown Author,2000,Sci-Fi,9780108365126
The heart of parenting,Unknown Author,1997,Mystery,978-0-945108-73-3
Social Security Bill,Unknown Author,2000,Fantasy,9780108366963
Northern Ireland Bill,Unknown Author,2000,Fiction,9780108369438
Contracts (Rights of Third Parties) Bill [H.L.],Unknown Author,2000,Fantasy,9780108384172
"Government's Expenditure Plans 1997-98 to 1999-2000, Complete Set",Unknown Author,2000,Sci-Fi,9780108506697
National Health Service (Amendment) Bill,Unknown Author,2000,Mystery,9780108707155
Broadcasting Bill [H.L.],Unknown Author,2000,Sci-Fi,9780108732669
Transfer of Crofting Estates (Scotland) Bill [H.L.],Unknown Author,2000,Mystery,9780108736179
Gas Bill,Unknown Author,2000,Fantasy,9780108755453
Bank of England Bill (Parliamentary Debates: [1997-98),Unknown Author,2000,Mystery,9780109309983
Competition Bill [Lords] (Parliamentary Debates: [1997-98),Unknown Author,2000,Fantasy,9780109613981
Environmental Assessment (Forestry) Regulations 1998 (Parliamentary Debates: [1997-98),Unknown Author,2000,Fantasy,9780109900982
"Probation (Amendment) Rules 1995 (S.I. 1995, No. 2622) (Parliamentary Debates: [1995-96)",Unknown Author,2000,Mystery,9780109908964
Draft Education (No. 2) (Northern Ireland) Order 1996 (Parliamentary Debates: [1996-97),Unknown Author,2000,Fantasy,9780109955975
The Financial Services Act 1986 (Listed Money Market Institutions and Miscellaneous Exemptions) Order 1990 (Statutory Instruments: 1990: 696),Unknown Author,2000,Mystery,9780110036960
The Controlled Drugs (Substances Useful for Manufacture) Regulations 1991 (Statutory Instruments: 1991: 1285),Unknown Author,2000,Fantasy,9780110142852
Crime is not the problem,Unknown Author,1997,Mystery,978-1-4064-2320-4
The Water Supply (Water Quality) Regulations 2000 (Statutory Instruments 2000),Unknown Author,2000,Fantasy,9780110188782
The A564 Trunk Road Stoke - Derby Route (Foston - Hatton - Hilton Bypass) (Detrunking) Order 1992 (Statutory Instruments: 1992: 175),Unknown Author,2000,Mystery,9780110231754
The Local Authorities Etc. (Allowances) (Scotland) Amendment Regulations 1992 (Statutory Instruments: 1992: 505 (),Unknown Author,2000,Fiction,9780110235059
